time,open,high,low,close,Volume,VWAP,VWAP_Upper1,VWAP_Lower1,VWAP_Upper2,VWAP_Lower2,EMA_8,EMA_20,EMA_50,EMA_200,ATR_14,RVOL,VIX,NQ,RTY,US10Y,DXY
1771863540,6841.5,6845.5,6840.5,6845,5276,6885.228228558116,6907.902983058116,6862.553474058116,6930.577737558116,6839.878719558116,6840.158307871657,6842.936196475686,6854.061198301062,6879.362737553135,4.238565945353451,0.9885796194455635,21.55,24721.25,2613.7,4.033,97.615
1771863600,6844.75,6849,6844.25,6847.25,5881,6885.009933011062,6907.800985184258,6862.218880837865,6930.5920373574545,6839.427828664669,6841.734239455733,6843.347034906574,6853.794092485335,6879.043207826238,4.275096949256776,1.098615755356709,21.4,24731.5,2613.3,4.033,97.618
1771863660,6847.25,6850.25,6846.25,6849.75,5788,6884.811588991411,6907.690933578135,6861.932244404687,6930.570278164858,6839.052899817963,6843.515519576681,6843.956841105948,6853.635500623164,6878.7517331214995,4.255447167167007,1.078663411543264,21.35,24735.5,2614.6,4.033,97.615
1771863720,6849.75,6850.75,6847,6848,5190,6884.626842608101,6907.596474161883,6861.657211054318,6930.566105715665,6838.687579500536,6844.512070781863,6844.341903857762,6853.414500598727,6878.445745727256,4.219343798083649,0.9882796507697726,21.19,24727.5,2613.3,4.033,97.63
1771863780,6848,6849,6844.75,6848.25,4539,6884.467875535179,6907.512523288974,6861.4232277813835,6930.55717104277,6838.378580027587,6845.342721719227,6844.714103490356,6853.211971163482,6878.14529054589,4.22153352679196,0.8842179083834143,21.33,24729.5,2613.5,4.033,97.624
1771863840,6848.25,6848.5,6843.75,6847,4009,6884.323815312464,6907.440709805534,6861.206920819393,6930.557604298605,6838.090026326323,6845.711005781621,6844.931807919846,6852.968364451189,6877.835387157374,4.259281132021106,0.8200208635889464,21.42,24723.75,2613.1,4.033,97.617
1771863900,6847,6851.5,6846.75,6850,5021,6884.159321934407,6907.342263505494,6860.97638036332,6930.525205076581,6837.793438792232,6846.664115607928,6845.4144928798605,6852.851958002123,6877.558418130932,4.2943324797338835,1.0264220371032862,21.29,24738.5,2613.3,4.033,97.601
1771863960,6850.25,6853,6848.5,6852.5,4421,6884.026289964472,6907.250941373446,6860.801638555498,6930.475592782419,6837.576987146525,6847.960978806166,6846.089303081779,6852.83815572753,6877.309080637092,4.309023016895749,0.9270481662437879,21.25,24748.5,2614.5,4.033,97.598
1771864020,6852.5,6855.5,6850.75,6854,5322,6883.875170931037,6907.1385429388265,6860.611798923248,6930.401914946616,6837.348426915459,6849.302983515907,6846.842702788276,6852.883718248018,6877.077149486474,4.340521372831767,1.0993255734691139,21.11,24761,2614.3,4.035,97.593
1771864080,6854.25,6856.5,6852,6856,4287,6883.7626180736925,6907.046176087153,6860.479060060232,6930.329734100613,6837.195502046772,6850.791209401261,6847.71482633225,6853.005925375547,6876.867426606012,4.351912703343784,0.8890409680530065,21.03,24769,2615.2,4.033,97.596
1771864140,6855.75,6858.75,6855.75,6858,4124,6883.66293750088,6906.956382646232,6860.369492355528,6930.249827791585,6837.076047210175,6852.393162867647,6848.69436668156,6853.201771439251,6876.679691017892,4.255347510247799,0.8575319962987223,20.99,24778,2616.2,4.033,97.602
1771864200,6858.25,6859.75,6855.75,6858,4844,6883.546834591234,6906.851252970014,6860.242416212454,6930.155671348793,6836.937997833676,6853.639126674837,6849.580617473792,6853.389937265163,6876.493823445575,4.237108402372956,1.0195104497716414,20.97,24777.25,2615.4,4.033,97.615
1771864260,6858,6860.5,6854.75,6855,4804,6883.419323098123,6906.749428844293,6860.089217351952,6930.0795345904635,6836.759111605782,6853.941542969317,6850.096749142955,6853.453076980255,6876.279954555569,4.345172087917745,1.012050223308334,21.02,24763.5,2613.7,4.033,97.622
1771864320,6855,6857.5,6854.75,6857.25,3146,6883.342997351317,6906.681761415186,6860.004233287447,6930.020525479055,6836.665469223578,6854.676755642802,6850.77801112934,6853.601975922205,6876.090601773922,4.2312312244950485,0.673070751588541,21.04,24771.5,2615.4,4.033,97.632
1771864380,6857.25,6858,6854.75,6856.25,2612,6883.277548852682,6906.626017643952,6859.929080061413,6929.9744864352215,6836.580611270143,6855.026365499957,6851.2991529265455,6853.705820003687,6875.893182850798,4.161143279888259,0.5683821129365684,21.07,24765.75,2614.3,4.035,97.612
1771864440,6856.25,6857.25,6854.25,6856,3312,6883.194250410069,6906.555574991301,6859.832925828837,6929.916899572532,6836.471601247606,6855.242728722189,6851.746852647827,6853.79578784668,6875.69524073288,4.0782044741819545,0.7224500479888317,21.03,24765,2614.9,4.035,97.608
1771864500,6855.75,6857,6853.75,6856,3570,6883.105031002359,6906.479788097667,6859.730273907052,6929.854545192975,6836.355516811744,6855.411011228369,6852.151914300415,6853.882227538967,6875.499268188274,4.019047011740386,0.7884275618374559,21.1,24761.75,2615.6,4.033,97.611
1771864560,6855.75,6856.75,6853.25,6855.25,3105,6883.025773243113,6906.41436161002,6859.6371848762055,6929.802949976926,6836.248596509299,6855.375230955398,6852.446970081328,6853.935865674694,6875.297782932669,3.9819722251875014,0.6925006969612489,21.08,24759.75,2615.7,4.033,97.603
1771864620,6855,6859.25,6854.75,6859,2999,6882.959925866829,6906.350191600716,6859.569660132941,6929.740457334604,6836.179394399053,6856.180735187532,6853.071068168821,6854.134459177647,6875.135615938314,4.01897420910268,0.6802998854446675,21.07,24780.25,2617.8,4.033,97.609
1771864680,6859,6859.5,6854.25,6854.25,3139,6882.877803024642,6906.2848654493855,6859.470740599899,6929.691927874128,6836.063678175156,6855.7516829236365,6853.183347390837,6854.1389901902885,6874.927798864301,4.106904622738203,0.7352235065406552,21.08,24760,2614.1,4.033,97.608
1771864740,6854.25,6856.25,6853.5,6854,2419,6882.814286850851,6906.234698243487,6859.393875458215,6929.6551096361245,6835.973464065578,6855.362420051717,6853.261123829805,6854.133539594591,6874.71956205968,4.009982863971189,0.5861968690932001,21.11,24759.5,2614.1,4.031,97.594
1771864800,6854,6856,6852.25,6853,2895,6882.736013194885,6906.175363813936,6859.2966625758345,6929.614714432987,6835.857311956784,6854.837437818002,6853.2362548936335,6854.089087061469,6874.50344701431,3.991412659401818,0.727880723103613,21.13,24760.25,2612.8,4.031,97.573
1771864860,6853.25,6855.75,6851.5,6854.25,3487,6882.646217592504,6906.103010763531,6859.189424421478,6929.559803934557,6835.732631250452,6854.706896080668,6853.332802046621,6854.095397372785,6874.301920178346,4.00988318373026,0.9028416078710596,21.16,24771.5,2613.1,4.033,97.576
1771864920,6854.5,6856.5,6853,6854,2792,6882.574096984704,6906.045285136292,6859.102908833116,6929.516473287878,6835.631720681529,6854.549808062742,6853.396344708847,6854.0916562993425,6874.099911022343,3.9734629563209554,0.7460552861170121,21.12,24766,2613.5,4.033,97.583
1771864980,6854,6857,6853.5,6856.75,2602,6882.513647678396,6905.990541071855,6859.036754284938,6929.467434465313,6835.55986089148,6855.038739604355,6853.715740450862,6854.195905071917,6873.927275091773,3.9396441737266015,0.713756686325607,21.08,24780.25,2614.2,4.033,97.585
